HD6268 (Flux) (Lin          npts=38100
      2.279425E+03        5.750984E-02
      2.279444E+03        5.763163E-02
      2.279463E+03        5.770693E-02
      2.279481E+03        5.772777E-02
      2.2795E+03        5.780561E-02
      2.279519E+03        5.796919E-02
      2.279538E+03         5.81144E-02
      2.279556E+03        5.822421E-02
      2.279575E+03        5.834973E-02
      2.279594E+03        5.850402E-02
      2.279613E+03        5.863334E-02
      2.279632E+03        5.871275E-02
      2.27965E+03         5.88033E-02
      2.279669E+03        5.893383E-02
      2.279688E+03        5.912827E-02
      2.279707E+03         5.93658E-02
      2.279725E+03        5.948838E-02
      2.279744E+03        5.948556E-02
      2.279763E+03        5.951779E-02
      2.279782E+03        5.962477E-02
      2.279801E+03        5.977721E-02
      2.279819E+03        5.994116E-02
      2.279838E+03        6.005585E-02
      2.279857E+03        6.013772E-02
      2.279876E+03        6.022277E-02
      2.279894E+03        6.031095E-02
      2.279913E+03        6.039312E-02
      2.279932E+03         6.04473E-02
      2.279951E+03        6.046616E-02
      2.27997E+03        6.047999E-02
      2.279988E+03         6.04895E-02
      2.280007E+03        6.047964E-02
      2.280026E+03        6.058975E-02
      2.280045E+03        6.082785E-02
      2.280063E+03        6.099705E-02
      2.280082E+03        6.108114E-02
      2.280101E+03        6.115669E-02
      2.28012E+03        6.123138E-02
      2.280139E+03        6.129435E-02
      2.280157E+03         6.13483E-02
      2.280176E+03        6.138159E-02
      2.280195E+03        6.139563E-02
      2.280214E+03        6.144237E-02
      2.280232E+03        6.154667E-02
      2.280251E+03        6.165252E-02
      2.28027E+03        6.170102E-02
      2.280289E+03        6.172419E-02
      2.280307E+03        6.174385E-02
      2.280326E+03        6.175965E-02
      2.280345E+03         6.18125E-02
      2.280364E+03         6.18192E-02
      2.280383E+03        6.174556E-02
      2.280401E+03        6.170112E-02
      2.28042E+03        6.168918E-02
      2.280439E+03        6.166113E-02
      2.280458E+03        6.161562E-02
      2.280476E+03        6.159922E-02
      2.280495E+03        6.160834E-02
      2.280514E+03        6.159125E-02
      2.280533E+03        6.156657E-02
      2.280552E+03          6.1598E-02
      2.28057E+03        6.165343E-02
      2.280589E+03        6.170843E-02
      2.280608E+03        6.180202E-02
      2.280627E+03        6.184339E-02
      2.280645E+03        6.178892E-02
      2.280664E+03        6.174147E-02
      2.280683E+03        6.175267E-02
      2.280702E+03        6.179377E-02
      2.28072E+03        6.183583E-02
      2.280739E+03        6.186561E-02
      2.280758E+03        6.188532E-02
      2.280777E+03        6.189028E-02
      2.280796E+03         6.18582E-02
      2.280814E+03        6.180248E-02
      2.280833E+03        6.176043E-02
      2.280852E+03        6.176071E-02
      2.280871E+03        6.176468E-02
      2.280889E+03        6.176073E-02
      2.280908E+03        6.178472E-02
      2.280927E+03        6.177329E-02
      2.280946E+03        6.170124E-02
      2.280964E+03        6.165217E-02
      2.280983E+03        6.162964E-02
      2.281002E+03        6.157266E-02
      2.281021E+03        6.150023E-02
      2.28104E+03         6.14411E-02
      2.281058E+03        6.138846E-02
      2.281077E+03        6.136431E-02
      2.281096E+03        6.138674E-02
      2.281115E+03        6.139211E-02
      2.281133E+03        6.141356E-02
      2.281152E+03        6.144757E-02
      2.281171E+03        6.146987E-02
      2.28119E+03        6.148423E-02
      2.281208E+03        6.149434E-02
      2.281227E+03        6.148193E-02
      2.281246E+03        6.146178E-02
      2.281265E+03        6.142616E-02
      2.281284E+03        6.136457E-02
      2.281302E+03        6.131213E-02
      2.281321E+03        6.128091E-02
      2.28134E+03        6.129065E-02
      2.281359E+03        6.133092E-02
      2.281377E+03        6.135741E-02
      2.281396E+03         6.13733E-02
      2.281415E+03        6.140286E-02
      2.281434E+03         6.14194E-02
      2.281452E+03         6.13763E-02
      2.281471E+03        6.130355E-02
      2.28149E+03        6.124543E-02
      2.281509E+03        6.120438E-02
      2.281527E+03         6.11896E-02
      2.281546E+03        6.122916E-02
      2.281565E+03        6.132122E-02
      2.281584E+03        6.140916E-02
      2.281603E+03        6.144947E-02
      2.281621E+03        6.145242E-02
      2.28164E+03        6.145194E-02
      2.281659E+03        6.144756E-02
      2.281678E+03         6.14209E-02
      2.281696E+03         6.13919E-02
      2.281715E+03        6.138217E-02
      2.281734E+03         6.13861E-02
      2.281753E+03        6.140973E-02
      2.281771E+03        6.142395E-02
      2.28179E+03        6.140867E-02
      2.281809E+03         6.13946E-02
      2.281828E+03        6.136345E-02
      2.281846E+03        6.132831E-02
      2.281865E+03        6.132324E-02
      2.281884E+03        6.131805E-02
      2.281903E+03        6.130261E-02
      2.281922E+03         6.12713E-02
      2.28194E+03        6.118072E-02
      2.281959E+03        6.107198E-02
      2.281978E+03        6.103648E-02
      2.281997E+03        6.105602E-02
      2.282015E+03        6.106026E-02
      2.282034E+03        6.105516E-02
      2.282053E+03        6.108654E-02
      2.282072E+03        6.112558E-02
      2.28209E+03        6.115054E-02
      2.282109E+03         6.11793E-02
      2.282128E+03        6.118962E-02
      2.282147E+03        6.118604E-02
      2.282165E+03         6.11938E-02
      2.282184E+03        6.120054E-02
      2.282203E+03        6.118894E-02
      2.282222E+03        6.116721E-02
      2.28224E+03        6.112959E-02
      2.282259E+03        6.106043E-02
      2.282278E+03        6.099555E-02
      2.282297E+03        6.096272E-02
      2.282315E+03        6.094239E-02
      2.282334E+03        6.093882E-02
      2.282353E+03         6.09629E-02
      2.282372E+03        6.100527E-02
      2.282391E+03        6.104679E-02
      2.282409E+03        6.106875E-02
      2.282428E+03        6.110291E-02
      2.282447E+03        6.116023E-02
      2.282466E+03        6.120375E-02
      2.282484E+03         6.12352E-02
      2.282503E+03         6.12895E-02
      2.282522E+03        6.136675E-02
      2.282541E+03        6.144927E-02
      2.282559E+03        6.154479E-02
      2.282578E+03        6.163482E-02
      2.282597E+03        6.168936E-02
      2.282616E+03        6.170486E-02
      2.282634E+03        6.170265E-02
      2.282653E+03        6.171917E-02
      2.282672E+03        6.178141E-02
      2.282691E+03        6.185736E-02
      2.282709E+03        6.190561E-02
      2.282728E+03         6.19509E-02
      2.282747E+03        6.199955E-02
      2.282766E+03        6.202889E-02
      2.282784E+03        6.207263E-02
      2.282803E+03        6.213409E-02
      2.282822E+03        6.214531E-02
      2.282841E+03         6.21263E-02
      2.282859E+03        6.213944E-02
      2.282878E+03        6.217214E-02
      2.282897E+03         6.22071E-02
      2.282916E+03        6.225147E-02
      2.282934E+03        6.229385E-02
      2.282953E+03        6.234527E-02
      2.282972E+03        6.240155E-02
      2.282991E+03        6.240157E-02
      2.283009E+03        6.237003E-02
      2.283028E+03        6.234096E-02
      2.283047E+03        6.227511E-02
      2.283066E+03        6.221304E-02
      2.283084E+03          6.2207E-02
      2.283103E+03        6.224529E-02
      2.283122E+03        6.230477E-02
      2.283141E+03        6.234723E-02
      2.283159E+03        6.236274E-02
      2.283178E+03        6.237858E-02
      2.283197E+03        6.239195E-02
      2.283216E+03        6.238427E-02
      2.283234E+03        6.237492E-02
      2.283253E+03        6.239904E-02
      2.283272E+03        6.245077E-02
      2.283291E+03         6.24967E-02
      2.28331E+03        6.251596E-02
      2.283328E+03        6.252921E-02
      2.283347E+03        6.256368E-02
      2.283366E+03         6.26216E-02
      2.283385E+03        6.269807E-02
      2.283403E+03        6.275325E-02
      2.283422E+03        6.276783E-02
      2.283441E+03        6.278435E-02
      2.28346E+03        6.280778E-02
      2.283478E+03        6.283546E-02
      2.283497E+03        6.290155E-02
      2.283516E+03         6.29715E-02
      2.283535E+03        6.301013E-02
      2.283553E+03         6.30377E-02
      2.283572E+03         6.30726E-02
      2.283591E+03        6.311841E-02
      2.28361E+03        6.318874E-02
      2.283628E+03         6.32956E-02
      2.283647E+03        6.340345E-02
      2.283666E+03         6.34801E-02
      2.283685E+03        6.353272E-02
      2.283703E+03        6.358985E-02
      2.283722E+03        6.366809E-02
      2.283741E+03        6.377084E-02
      2.28376E+03        6.386542E-02
      2.283778E+03        6.391241E-02
      2.283797E+03        6.394456E-02
      2.283816E+03        6.400082E-02
      2.283835E+03        6.408276E-02
      2.283853E+03        6.416114E-02
      2.283872E+03        6.421469E-02
      2.283891E+03        6.426642E-02
      2.283909E+03        6.433496E-02
      2.283928E+03        6.441643E-02
      2.283947E+03        6.448644E-02
      2.283966E+03        6.453962E-02
      2.283984E+03        6.460168E-02
      2.284003E+03        6.468041E-02
      2.284022E+03        6.474453E-02
      2.284041E+03        6.477283E-02
      2.284059E+03        6.479394E-02
      2.284078E+03        6.482163E-02
      2.284097E+03        6.484594E-02
      2.284116E+03          6.4875E-02
      2.284134E+03        6.491351E-02
      2.284153E+03        6.494229E-02
      2.284172E+03        6.495833E-02
      2.284191E+03        6.495563E-02
      2.284209E+03         6.49398E-02
      2.284228E+03         6.49402E-02
      2.284247E+03        6.491732E-02
      2.284266E+03        6.485098E-02
      2.284284E+03        6.479079E-02
      2.284303E+03        6.475033E-02
      2.284322E+03        6.469713E-02
      2.284341E+03         6.46401E-02
      2.284359E+03        6.460951E-02
      2.284378E+03        6.458542E-02
      2.284397E+03        6.456409E-02
      2.284416E+03        6.455095E-02
      2.284434E+03        6.454728E-02
      2.284453E+03        6.454962E-02
      2.284472E+03        6.452142E-02
      2.284491E+03         6.44609E-02
      2.284509E+03        6.441952E-02
      2.284528E+03         6.44087E-02
      2.284547E+03        6.438624E-02
      2.284566E+03        6.434857E-02
      2.284584E+03        6.431335E-02
      2.284603E+03        6.430216E-02
      2.284622E+03        6.434132E-02
      2.284641E+03        6.438372E-02
      2.284659E+03         6.43854E-02
      2.284678E+03        6.436961E-02
      2.284697E+03        6.435303E-02
      2.284716E+03        6.435743E-02
      2.284734E+03        6.439838E-02
      2.284753E+03         6.44384E-02
      2.284772E+03        6.443929E-02
      2.284791E+03         6.44204E-02
      2.284809E+03        6.441131E-02
      2.284828E+03        6.440836E-02
      2.284847E+03        6.441015E-02
      2.284865E+03         6.44087E-02
      2.284884E+03        6.438559E-02
      2.284903E+03        6.434428E-02
      2.284922E+03        6.431266E-02
      2.28494E+03        6.431868E-02
      2.284959E+03        6.434239E-02
      2.284978E+03        6.434927E-02
      2.284997E+03        6.434936E-02
      2.285015E+03           6.435E-02
      2.285034E+03        6.435124E-02
      2.285053E+03        6.434748E-02
      2.285072E+03        6.431097E-02
      2.28509E+03        6.425405E-02
      2.285109E+03        6.421722E-02
      2.285128E+03        6.421868E-02
      2.285147E+03        6.422341E-02
      2.285165E+03        6.419036E-02
      2.285184E+03        6.412641E-02
      2.285203E+03        6.405432E-02
      2.285222E+03        6.397764E-02
      2.28524E+03        6.387991E-02
      2.285259E+03        6.376477E-02
      2.285278E+03        6.366775E-02
      2.285296E+03        6.359422E-02
      2.285315E+03        6.350961E-02
      2.285334E+03         6.34239E-02
      2.285353E+03        6.335822E-02
      2.285371E+03        6.329917E-02
      2.28539E+03        6.326085E-02
      2.285409E+03         6.32416E-02
      2.285428E+03        6.319415E-02
      2.285446E+03         6.31218E-02
      2.285465E+03        6.306047E-02
      2.285484E+03          6.3023E-02
      2.285503E+03         6.29959E-02
      2.285521E+03        6.294744E-02
      2.28554E+03        6.288149E-02
      2.285559E+03        6.283454E-02
      2.285578E+03        6.282312E-02
      2.285596E+03        6.282486E-02
      2.285615E+03        6.279774E-02
      2.285634E+03        6.274326E-02
      2.285653E+03        6.270192E-02
      2.285671E+03        6.268503E-02
      2.28569E+03        6.266449E-02
      2.285709E+03         6.26181E-02
      2.285727E+03        6.256464E-02
      2.285746E+03        6.252162E-02
      2.285765E+03        6.249254E-02
      2.285784E+03        6.248432E-02
      2.285802E+03        6.247685E-02
      2.285821E+03        6.244094E-02
      2.28584E+03         6.23887E-02
      2.285859E+03        6.232711E-02
      2.285877E+03        6.223374E-02
      2.285896E+03        6.214861E-02
      2.285915E+03        6.211897E-02
      2.285934E+03        6.210925E-02
      2.285952E+03        6.210639E-02
      2.285971E+03         6.21209E-02
      2.28599E+03        6.210878E-02
      2.286008E+03         6.20662E-02
      2.286027E+03        6.202946E-02
      2.286046E+03        6.200047E-02
      2.286065E+03         6.19741E-02
      2.286083E+03        6.195267E-02
      2.286102E+03        6.193856E-02
      2.286121E+03        6.193886E-02
      2.28614E+03        6.195878E-02
      2.286158E+03        6.196767E-02
      2.286177E+03          6.1941E-02
      2.286196E+03        6.190262E-02
      2.286215E+03        6.188858E-02
      2.286233E+03        6.190835E-02
      2.286252E+03        6.191889E-02
      2.286271E+03        6.189166E-02
      2.286289E+03        6.187264E-02
      2.286308E+03        6.187717E-02
      2.286327E+03        6.186421E-02
      2.286346E+03        6.187112E-02
      2.286364E+03        6.190976E-02
      2.286383E+03        6.192437E-02
      2.286402E+03         6.19208E-02
      2.286421E+03        6.190661E-02
      2.286439E+03        6.190926E-02
      2.286458E+03        6.194512E-02
      2.286477E+03        6.196039E-02
      2.286496E+03        6.193115E-02
      2.286514E+03        6.191101E-02
      2.286533E+03        6.191919E-02
      2.286552E+03        6.191788E-02
      2.28657E+03        6.191641E-02
      2.286589E+03        6.194524E-02
      2.286608E+03        6.199947E-02
      2.286627E+03        6.205873E-02
      2.286645E+03        6.211514E-02
      2.286664E+03        6.215762E-02
      2.286683E+03        6.217445E-02
      2.286702E+03        6.217276E-02
      2.28672E+03        6.217388E-02
      2.286739E+03        6.219977E-02
      2.286758E+03        6.224374E-02
      2.286776E+03        6.227203E-02
      2.286795E+03        6.228225E-02
      2.286814E+03        6.230743E-02
      2.286833E+03        6.236027E-02
      2.286851E+03         6.24205E-02
      2.28687E+03        6.247271E-02
      2.286889E+03        6.251701E-02
      2.286908E+03         6.25576E-02
      2.286926E+03        6.259826E-02
      2.286945E+03        6.265387E-02
      2.286964E+03        6.272934E-02
      2.286983E+03        6.279452E-02
      2.287001E+03        6.283336E-02
      2.28702E+03        6.285918E-02
      2.287039E+03        6.288922E-02
      2.287057E+03        6.292524E-02
      2.287076E+03        6.296638E-02
      2.287095E+03        6.300199E-02
      2.287114E+03        6.302431E-02
      2.287132E+03        6.303544E-02
      2.287151E+03        6.303643E-02
      2.28717E+03         6.30414E-02
      2.287189E+03        6.302203E-02
      2.287207E+03        6.296483E-02
      2.287226E+03        6.291341E-02
      2.287245E+03        6.287532E-02
      2.287263E+03        6.284681E-02
      2.287282E+03        6.283353E-02
      2.287301E+03        6.283327E-02
      2.28732E+03        6.284027E-02
      2.287338E+03        6.284485E-02
      2.287357E+03         6.28712E-02
      2.287376E+03         6.29207E-02
      2.287395E+03        6.297941E-02
      2.287413E+03        6.306369E-02
      2.287432E+03        6.313984E-02
      2.287451E+03        6.318827E-02
      2.287469E+03         6.32382E-02
      2.287488E+03        6.327114E-02
      2.287507E+03        6.328148E-02
      2.287526E+03        6.331131E-02
      2.287544E+03        6.335318E-02
      2.287563E+03        6.338992E-02
      2.287582E+03        6.344115E-02
      2.2876E+03        6.349537E-02
      2.287619E+03        6.352401E-02
      2.287638E+03        6.351649E-02
      2.287657E+03        6.349999E-02
      2.287675E+03        6.349412E-02
      2.287694E+03        6.347187E-02
      2.287713E+03        6.345019E-02
      2.287732E+03        6.345194E-02
      2.28775E+03        6.345723E-02
      2.287769E+03        6.346532E-02
      2.287788E+03        6.347559E-02
      2.287806E+03        6.347696E-02
      2.287825E+03        6.347734E-02
      2.287844E+03        6.350387E-02
      2.287863E+03        6.354912E-02
      2.287881E+03        6.358303E-02
      2.2879E+03        6.363359E-02
      2.287919E+03          6.3724E-02
      2.287938E+03        6.379817E-02
      2.287956E+03        6.382651E-02
      2.287975E+03        6.383728E-02
      2.287994E+03        6.383252E-02
      2.288012E+03        6.381059E-02
      2.288031E+03        6.381007E-02
      2.28805E+03        6.384279E-02
      2.288069E+03        6.386561E-02
      2.288087E+03        6.385337E-02
      2.288106E+03         6.38048E-02
      2.288125E+03         6.37486E-02
      2.288143E+03        6.369906E-02
      2.288162E+03        6.364333E-02
      2.288181E+03        6.358738E-02
      2.2882E+03        6.351677E-02
      2.288218E+03        6.343581E-02
      2.288237E+03        6.337578E-02
      2.288256E+03        6.333051E-02
      2.288275E+03        6.328718E-02
      2.288293E+03        6.323844E-02
      2.288312E+03        6.316534E-02
      2.288331E+03        6.310435E-02
      2.288349E+03        6.307875E-02
      2.288368E+03        6.305853E-02
      2.288387E+03        6.303967E-02
      2.288406E+03          6.2993E-02
      2.288424E+03        6.289477E-02
      2.288443E+03        6.280758E-02
      2.288462E+03        6.279326E-02
      2.28848E+03        6.280944E-02
      2.288499E+03          6.2791E-02
      2.288518E+03         6.27598E-02
      2.288537E+03        6.273624E-02
      2.288555E+03        6.270943E-02
      2.288574E+03        6.269558E-02
      2.288593E+03        6.267623E-02
      2.288611E+03        6.263927E-02
      2.28863E+03        6.260647E-02
      2.288649E+03         6.25748E-02
