#Raw data of wavelength and flux data for the star: HD6268
        Wavelength          Flux 
      2.276607E+03       -3.054829E-15
      2.276625E+03        2.045999E-15
      2.276644E+03        7.146827E-15
      2.276663E+03       -8.557718E-16
      2.276682E+03       -8.858371E-15
      2.276701E+03       -5.237764E-15
      2.27672E+03       -1.617157E-15
      2.276738E+03       -4.280199E-15
      2.276757E+03       -6.943241E-15
      2.276776E+03       -2.567271E-15
      2.276795E+03        1.808699E-15
      2.276814E+03       -8.291916E-16
      2.276832E+03       -3.467082E-15
      2.276851E+03       -1.098607E-14
      2.27687E+03       -1.850505E-14
      2.276889E+03       -4.048424E-15
      2.276908E+03         1.04082E-14
      2.276926E+03        3.758753E-15
      2.276945E+03       -2.890697E-15
      2.276964E+03       -6.650303E-15
      2.276983E+03       -1.040991E-14
      2.277002E+03        -5.30941E-15
      2.27702E+03       -2.089118E-16
      2.277039E+03        6.946444E-16
      2.277058E+03        1.598201E-15
      2.277077E+03        1.991704E-15
      2.277096E+03        2.385207E-15
      2.277114E+03        5.122037E-15
      2.277133E+03        7.858868E-15
      2.277152E+03        1.007898E-14
      2.277171E+03        1.229909E-14
      2.27719E+03       -3.314252E-15
      2.277208E+03       -1.892759E-14
      2.277227E+03       -9.635887E-15
      2.277246E+03       -3.441851E-16
      2.277265E+03       -1.049749E-15
      2.277284E+03       -1.755313E-15
      2.277302E+03       -7.766086E-16
      2.277321E+03        2.020961E-16
      2.27734E+03        3.500719E-15
      2.277359E+03        6.799341E-15
      2.277378E+03        4.048879E-15
      2.277396E+03        1.298417E-15
      2.277415E+03         3.57831E-15
      2.277434E+03        5.858202E-15
      2.277453E+03        4.327302E-15
      2.277472E+03        2.796401E-15
      2.27749E+03         2.31628E-15
      2.277509E+03         1.83616E-15
      2.277528E+03        1.199476E-14
      2.277547E+03        2.215336E-14
      2.277566E+03        1.821638E-14
      2.277584E+03        1.427939E-14
      2.277603E+03        1.594711E-14
      2.277622E+03        1.761482E-14
      2.277641E+03        1.264423E-14
      2.277659E+03        7.673638E-15
      2.277678E+03        1.213505E-14
      2.277697E+03        1.659646E-14
      2.277716E+03        9.570526E-15
      2.277735E+03         2.54459E-15
      2.277753E+03        8.554292E-17
      2.277772E+03       -2.373504E-15
      2.277791E+03         7.55673E-15
      2.27781E+03        1.748696E-14
      2.277829E+03        1.378801E-14
      2.277847E+03        1.008906E-14
      2.277866E+03        9.533863E-15
      2.277885E+03        8.978666E-15
      2.277904E+03        1.053243E-14
      2.277923E+03        1.208619E-14
      2.277941E+03        1.409697E-14
      2.27796E+03        1.610775E-14
      2.277979E+03        1.616769E-14
      2.277998E+03        1.622763E-14
      2.278017E+03        1.182862E-14
      2.278035E+03        7.429615E-15
      2.278054E+03        6.228107E-15
      2.278073E+03          5.0266E-15
      2.278092E+03        1.069565E-14
      2.278111E+03        1.636471E-14
      2.278129E+03        1.267418E-14
      2.278148E+03        8.983662E-15
      2.278167E+03        1.197544E-14
      2.278186E+03        1.496722E-14
      2.278204E+03        1.575864E-14
      2.278223E+03        1.655005E-14
      2.278242E+03         1.21658E-14
      2.278261E+03        2.987557E-15
      2.27828E+03          4.1108E-15
      2.278298E+03        4.682261E-15
      2.278317E+03        4.552955E-15
      2.278336E+03        4.013407E-15
      2.278355E+03        3.965617E-15
      2.278374E+03        5.006868E-15
      2.278392E+03        7.326056E-15
      2.278411E+03        8.088835E-15
      2.27843E+03        1.068332E-14
      2.278449E+03        1.432234E-14
      2.278468E+03        1.315605E-14
      2.278486E+03        1.000962E-14
      2.278505E+03        4.766597E-15
      2.278524E+03        2.523291E-15
      2.278543E+03        5.598852E-15
      2.278561E+03        5.575381E-15
      2.27858E+03        1.824133E-15
      2.278599E+03        2.689763E-15
      2.278618E+03        1.004092E-14
      2.278637E+03        1.330753E-14
      2.278655E+03        1.140354E-14
      2.278674E+03        1.009736E-14
      2.278693E+03        7.831108E-15
      2.278712E+03        4.786955E-15
      2.278731E+03        6.658202E-16
      2.278749E+03       -1.311196E-15
      2.278768E+03        3.666968E-15
      2.278787E+03         8.12154E-15
      2.278806E+03         7.09185E-15
      2.278824E+03        6.192353E-15
      2.278843E+03        7.918464E-15
      2.278862E+03        8.709216E-15
      2.278881E+03         6.64557E-15
      2.2789E+03        4.683849E-15
      2.278918E+03        2.156447E-15
      2.278937E+03        1.180631E-15
      2.278956E+03        3.342539E-15
      2.278975E+03        4.237067E-15
      2.278994E+03        7.536642E-15
      2.279012E+03        1.064455E-14
      2.279031E+03        8.254588E-15
      2.27905E+03        5.526934E-15
      2.279069E+03        4.251602E-15
      2.279087E+03        5.585947E-15
      2.279106E+03        1.327408E-14
      2.279125E+03        1.773836E-14
      2.279144E+03        1.116478E-14
      2.279163E+03        6.804138E-15
      2.279181E+03        1.045873E-14
      2.2792E+03        1.181801E-14
      2.279219E+03        7.033335E-15
      2.279238E+03        3.628454E-15
      2.279257E+03        2.333372E-15
      2.279275E+03        1.030776E-15
      2.279294E+03        3.717298E-15
      2.279313E+03        5.659916E-15
      2.279332E+03        3.982809E-15
      2.27935E+03        4.431971E-15
      2.279369E+03         8.08486E-15
      2.279388E+03        1.001109E-14
      2.279407E+03        1.066872E-14
      2.279426E+03        1.139028E-14
      2.279444E+03        9.481335E-15
      2.279463E+03        9.230028E-15
      2.279482E+03        1.098113E-14
      2.279501E+03         9.34321E-15
      2.279519E+03        6.422495E-15
      2.279538E+03        5.812215E-15
      2.279557E+03        6.220212E-15
